drug_id,drug_name,category,form,strength,ndc,lot_number,manufacturer,location,quantity,daily_usage,reorder_point,reorder_quantity,cost_per_unit,total_value,expiration_date,expiry_ns,days_until_expiry,days_of_supply,below_reorder,expired
RX00033,Hydrocodone,Analgesic,Tablet,40mg,17989-865-50,LOT159942,Gilead Sciences,ER Satellite,445,50,150,700,3.84,1708.8,2027-10-24,1824397011018893236,548,8,False,False
RX00034,Tramadol,Analgesic,Capsule,80mg,30635-158-75,LOT184002,Baxter,OR Satellite,488,14,154,196,3.04,1483.52,2028-10-06,1854464211018893236,896,34,False,False
RX00035,Fentanyl,Analgesic,Injection,200mg,40828-513-25,LOT697347,Fresenius Kabi,Oncology Satellite,280,219,2628,3066,21.88,6126.4,2026-05-18,1779123411018893236,24,1,True,False
RX00036,Ketorolac,Analgesic,Oral Solution,400mg,96163-697-82,LOT648177,Hospira,Pediatrics Satellite,2435,65,195,910,0.79,1923.65,2027-12-04,1827939411018893236,589,37,False,False
RX00037,Ibuprofen,Analgesic,IV Bag,25mg,44814-505-26,LOT804318,Mylan,Pharmacy Main,418,82,1066,1148,0.19,79.42,2028-03-12,1836493011018893236,688,5,True,False
RX00038,Acetaminophen,Analgesic,Patch,50mg,11220-569-89,LOT690341,Teva,ICU Satellite,1872,167,1336,2338,0.38,711.36,2028-04-17,1839603411018893236,724,11,False,False
RX00039,Naloxone,Emergency,Inhaler,100mg,55745-170-41,LOT487477,Sandoz,ER Satellite,137,27,162,378,54.48,7463.76,2027-08-10,1817917011018893236,473,5,True,False
RX00040,Epinephrine,Emergency,Suspension,250mg,95717-641-11,LOT800305,Hikma,OR Satellite,448,74,814,1036,34.66,15527.68,2028-02-28,1835369811018893236,675,6,True,False
RX00041,Atropine,Emergency,Tablet,500mg,27601-370-24,LOT212235,Pfizer,Oncology Satellite,2452,211,2743,2954,23.78,58308.56,2026-06-24,1782320211018893236,61,11,True,False
RX00042,Adenosine,Emergency,Capsule,1000mg,54942-308-97,LOT765046,Johnson & Johnson,Pediatrics Satellite,1273,192,1344,2688,31.17,39679.41,2026-12-23,1798045011018893236,243,6,True,False
RX00043,Amiodarone,Cardiac,Injection,5mg/mL,16658-194-91,LOT544151,Merck,Pharmacy Main,4140,220,2200,3080,36.97,153055.8,2026-11-22,1795366611018893236,212,18,False,False
RX00044,Digoxin,Cardiac,Oral Solution,10mg/mL,93507-368-30,LOT877236,AbbVie,ICU Satellite,361,214,642,2996,3.97,1433.17,2027-02-14,1802624211018893236,296,1,True,False
RX00045,Furosemide,Cardiac,IV Bag,40mg,29536-658-14,LOT975136,Bristol-Myers Squibb,ER Satellite,3503,115,1265,1610,0.22,770.66,2026-03-19,1773939411018893236,-36,30,False,True
RX00046,Warfarin,Anticoagulant,Patch,80mg,50404-473-15,LOT475190,Novartis,OR Satellite,2263,96,480,1344,0.32,724.16,2027-05-24,1811177811018893236,395,23,False,False
RX00047,Heparin,Anticoagulant,Inhaler,200mg,63264-735-29,LOT348237,Roche,Oncology Satellite,682,55,220,770,12.14,8279.48,2027-03-07,1804438611018893236,317,12,False,False
RX00048,Enoxaparin,Anticoagulant,Suspension,400mg,53540-901-62,LOT941204,Sanofi,Pediatrics Satellite,725,223,2007,3122,13.74,9961.5,2026-04-04,1775321811018893236,-20,3,True,True
RX00049,Clopidogrel,Anticoagulant,Tablet,25mg,60140-993-14,LOT593554,GlaxoSmithKline,Pharmacy Main,1092,173,865,2422,4.45,4859.4,2028-05-24,1842800211018893236,761,6,False,False
RX00050,Apixaban,Anticoagulant,Capsule,50mg,39831-328-13,LOT792094,AstraZeneca,ICU Satellite,836,58,580,812,20.68,17288.48,2027-03-03,1804093011018893236,313,14,False,False
RX00051,Levothyroxine,Hormone,Injection,100mg,46585-459-92,LOT634150,Eli Lilly,ER Satellite,672,51,357,714,0.18,120.96,2028-08-11,1849625811018893236,840,13,False,False
RX00052,Prednisone,Steroid,Oral Solution,250mg,44237-282-84,LOT378361,Amgen,OR Satellite,1356,104,312,1456,0.8,1084.8,2026-07-06,1783357011018893236,73,13,False,False
RX00053,Methylprednisolone,Steroid,IV Bag,500mg,51114-546-87,LOT636265,Gilead Sciences,Oncology Satellite,76,11,99,154,9.15,695.4,2027-02-26,1803661011018893236,308,6,True,False
RX00054,Dexamethasone,Steroid,Patch,1000mg,67154-101-76,LOT945687,Baxter,Pediatrics Satellite,590,31,186,434,0.7,413.0,2026-11-25,1795625811018893236,215,19,False,False
RX00055,Albuterol,Pulmonary,Inhaler,5mg/mL,97062-438-89,LOT429164,Fresenius Kabi,Pharmacy Main,1614,139,1112,1946,1.16,1872.24,2027-05-25,1811264211018893236,396,11,False,False
RX00056,Ipratropium,Pulmonary,Suspension,10mg/mL,63528-434-61,LOT831076,Hospira,ICU Satellite,1474,171,1197,2394,3.3,4864.2,2027-08-11,1818003411018893236,474,8,False,False
RX00057,Budesonide,Pulmonary,Tablet,40mg,59695-793-32,LOT745414,Mylan,ER Satellite,521,77,462,1078,14.3,7450.3,2027-05-14,1810313811018893236,385,6,False,False
RX00058,Sertraline,Psychiatric,Capsule,80mg,47606-315-65,LOT923927,Teva,OR Satellite,1663,147,1617,2058,0.1,166.3,2028-07-10,1846861011018893236,808,11,False,False
RX00059,Escitalopram,Psychiatric,Injection,200mg,98555-318-75,LOT596171,Sandoz,Oncology Satellite,5363,150,1200,2100,0.73,3914.99,2027-06-29,1814288211018893236,431,35,False,False
RX00060,Fluoxetine,Psychiatric,Oral Solution,400mg,91167-443-21,LOT958179,Hikma,Pediatrics Satellite,347,205,1435,2870,0.69,239.43,2027-08-19,1818694611018893236,482,1,True,False
RX00061,Quetiapine,Psychiatric,IV Bag,25mg,13201-147-41,LOT598216,Pfizer,Pharmacy Main,2542,245,1470,3430,1.4,3558.8,2028-06-12,1844441811018893236,780,10,False,False
RX00062,Haloperidol,Psychiatric,Patch,50mg,35485-835-99,LOT502630,Johnson & Johnson,ICU Satellite,932,158,1422,2212,2.0,1864.0,2028-09-02,1851526611018893236,862,5,True,False
RX00063,Lorazepam,CNS,Inhaler,100mg,23970-897-64,LOT329471,Merck,ER Satellite,999,128,640,1792,3.25,3246.75,2028-01-10,1831136211018893236,626,7,False,False
RX00064,Diazepam,CNS,Suspension,250mg,25906-567-27,LOT940346,AbbVie,OR Satellite,951,47,141,658,0.97,922.47,2027-10-01,1822409811018893236,525,20,False,False
RX00065,Midazolam,CNS,Tablet,500mg,68008-727-74,LOT547470,Bristol-Myers Squibb,Oncology Satellite,4351,120,1320,1680,3.22,14010.22,2027-11-09,1825779411018893236,564,36,False,False
RX00066,Phenytoin,CNS,Capsule,1000mg,68991-365-41,LOT980660,Novartis,Pediatrics Satellite,3652,214,1070,2996,3.07,11211.64,2028-04-09,1838912211018893236,716,17,False,False
RX00067,Levetiracetam,CNS,Injection,5mg/mL,45992-550-19,LOT848206,Roche,Pharmacy Main,3136,165,1815,2310,6.83,21418.88,2027-07-19,1816016211018893236,451,19,False,False
RX00068,Gabapentin,CNS,Oral Solution,10mg/mL,20561-241-29,LOT342495,Sanofi,ICU Satellite,556,75,600,1050,1.62,900.72,2027-01-31,1801414611018893236,282,7,True,False
RX00069,Propofol,Anesthesia,IV Bag,40mg,81121-577-63,LOT165290,GlaxoSmithKline,ER Satellite,438,100,400,1400,13.15,5759.7,2027-05-08,1809795411018893236,379,4,False,False
RX00070,Ketamine,Anesthesia,Patch,80mg,85456-489-71,LOT106182,AstraZeneca,OR Satellite,797,54,648,756,3.29,2622.13,2028-02-20,1834678611018893236,667,14,False,False
RX00071,Succinylcholine,Anesthesia,Inhaler,200mg,64921-651-79,LOT938722,Eli Lilly,Oncology Satellite,2446,243,2187,3402,18.27,44688.42,2028-07-30,1848589011018893236,828,10,False,False
RX00072,Methotrexate,Oncology,Suspension,400mg,13804-498-53,LOT801364,Amgen,Pediatrics Satellite,1999,156,936,2184,40.51,80979.49,2026-12-14,1797267411018893236,234,12,False,False
RX00073,Doxorubicin,Oncology,Tablet,25mg,91560-646-13,LOT513160,Gilead Sciences,Pharmacy Main,1352,175,1750,2450,81.91,110742.32,2028-10-06,1854464211018893236,896,7,True,False
RX00074,Paclitaxel,Oncology,Capsule,50mg,27786-987-69,LOT290556,Baxter,ICU Satellite,5431,153,459,2142,349.95,1900578.45,2026-06-03,1780505811018893236,40,35,False,False
RX00075,Acyclovir,Antiviral,Injection,100mg,54236-879-58,LOT391773,Fresenius Kabi,ER Satellite,194,14,112,196,4.18,810.92,2026-10-12,1791824211018893236,171,13,False,False
RX00076,Oseltamivir,Antiviral,Oral Solution,250mg,80702-153-54,LOT335113,Hospira,OR Satellite,2066,194,776,2716,5.48,11321.68,2027-07-04,1814720211018893236,436,10,False,False
RX00077,Remdesivir,Antiviral,IV Bag,500mg,12671-736-29,LOT350132,Mylan,Oncology Satellite,82,168,504,2352,359.49,29478.18,2026-11-18,1795021011018893236,208,0,True,False
RX00078,Tacrolimus,Immunosuppressant,Patch,1000mg,43586-885-57,LOT275939,Teva,Pediatrics Satellite,234,34,408,476,49.88,11671.92,2026-10-19,1792429011018893236,178,6,True,False
RX00079,Mycophenolate,Immunosuppressant,Inhaler,5mg/mL,31465-418-23,LOT706794,Sandoz,Pharmacy Main,6127,157,2198,2198,12.11,74197.97,2026-07-05,1783270611018893236,72,39,False,False
RX00080,Calcium Carbonate,Supplement,Suspension,10mg/mL,61990-832-35,LOT179688,Hikma,ICU Satellite,147,8,104,112,0.29,42.63,2028-09-24,1853427411018893236,884,18,False,False
RX00081,Vitamin D3,Supplement,Tablet,40mg,99687-714-25,LOT934904,Pfizer,ER Satellite,1989,153,612,2142,0.47,934.83,2028-02-21,1834765011018893236,668,13,False,False
RX00082,Iron Sulfate,Supplement,Capsule,80mg,19038-618-92,LOT457806,Johnson & Johnson,OR Satellite,355,146,1606,2044,0.27,95.85,2027-05-22,1811005011018893236,393,2,True,False
RX00083,Folic Acid,Supplement,Injection,200mg,93307-948-68,LOT841666,Merck,Oncology Satellite,125,5,20,70,0.24,30.0,2027-05-27,1811437011018893236,398,25,False,False
RX00084,Potassium Chloride,Electrolyte,Oral Solution,400mg,45400-730-78,LOT912270,AbbVie,Pediatrics Satellite,360,41,574,574,1.16,417.6,2027-08-26,1819299411018893236,489,8,True,False
RX00085,Sodium Bicarbonate,Electrolyte,IV Bag,25mg,42177-950-21,LOT392477,Bristol-Myers Squibb,Pharmacy Main,1784,125,1750,1750,0.51,909.84,2027-11-06,1825520211018893236,561,14,False,False
RX00086,Magnesium Sulfate,Electrolyte,Patch,50mg,59674-444-13,LOT618317,Novartis,ICU Satellite,1997,227,2270,3178,1.3,2596.1,2027-10-14,1823533011018893236,538,8,True,False
RX00087,Normal Saline 0.9%,IV Fluid,Inhaler,100mg,43862-448-45,LOT725113,Roche,ER Satellite,1489,219,2190,3066,2.29,3409.81,2026-10-13,1791910611018893236,172,6,True,False
RX00088,Lactated Ringer's,IV Fluid,Suspension,250mg,21221-347-62,LOT612311,Sanofi,OR Satellite,2276,181,543,2534,5.74,13064.24,2027-08-21,1818867411018893236,484,12,False,False
RX00089,Dextrose 5%,IV Fluid,Tablet,500mg,12260-195-47,LOT332360,GlaxoSmithKline,Oncology Satellite,1950,144,1872,2016,3.16,6162.0,2028-03-07,1836061011018893236,683,13,False,False
RX00090,Albumin 25%,IV Fluid,Capsule,1000mg,82544-643-54,LOT546173,AstraZeneca,Pediatrics Satellite,627,105,1365,1470,198.09,124202.43,2027-10-26,1824569811018893236,550,5,True,False
RX00091,Aspirin,Analgesic,Injection,5mg/mL,50189-357-39,LOT226516,Eli Lilly,Pharmacy Main,2709,192,1536,2688,0.15,406.35,2028-02-27,1835283411018893236,674,14,False,False
RX00092,Naproxen,Analgesic,Oral Solution,10mg/mL,34267-296-37,LOT874483,Amgen,ICU Satellite,1292,186,744,2604,0.52,671.84,2028-04-08,1838825811018893236,715,6,False,False
RX00093,Celecoxib,Analgesic,IV Bag,40mg,23176-952-34,LOT410636,Gilead Sciences,ER Satellite,2414,125,1375,1750,1.49,3596.86,2027-11-11,1825952211018893236,566,19,False,False
RX00094,Amoxicillin 50mg,Antibiotic,Patch,80mg,26591-380-15,LOT157174,Baxter,OR Satellite,367,60,420,840,1.81,664.27,2026-03-24,1774371411018893236,-31,6,True,True
RX00095,Azithromycin 50mg,Antibiotic,Inhaler,200mg,74340-205-11,LOT701949,Fresenius Kabi,Oncology Satellite,2856,143,715,2002,4.45,12709.2,2027-12-23,1829581011018893236,608,19,False,False
RX00096,Ciprofloxacin 50mg,Antibiotic,Suspension,400mg,16734-358-71,LOT219629,Hospira,Pediatrics Satellite,1960,74,740,1036,1.15,2254.0,2027-02-21,1803229011018893236,303,26,False,False
RX00097,Doxycycline 50mg,Antibiotic,Tablet,25mg,99974-154-29,LOT256445,Mylan,Pharmacy Main,820,212,2120,2968,1.12,918.4,2026-05-24,1779641811018893236,30,3,True,False
RX00098,Vancomycin 50mg,Antibiotic,Capsule,50mg,25525-671-63,LOT735770,Teva,ICU Satellite,7775,209,1463,2926,44.77,348086.75,2026-06-05,1780678611018893236,42,37,False,False
RX00099,Meropenem 50mg,Antibiotic,Injection,100mg,68028-404-85,LOT549660,Sandoz,ER Satellite,1848,154,1694,2156,44.28,81829.44,2027-04-03,1806771411018893236,344,12,False,False
RX00100,Piperacillin-Tazobactam 50mg,Antibiotic,Oral Solution,250mg,23006-881-36,LOT755900,Hikma,OR Satellite,2543,80,240,1120,58.09,147722.87,2027-11-24,1827075411018893236,579,31,False,False
RX00101,Metronidazole 50mg,Antibiotic,IV Bag,500mg,19838-260-10,LOT528361,Pfizer,Oncology Satellite,166,56,280,784,0.77,127.82,2026-11-10,1794329811018893236,200,2,True,False
RX00102,Clindamycin 50mg,Antibiotic,Patch,1000mg,47056-819-68,LOT174637,Johnson & Johnson,Pediatrics Satellite,3849,117,819,1638,3.0,11547.0,2026-04-12,1776013011018893236,-12,32,False,True
RX00103,Trimethoprim-Sulfamethoxazole 50mg,Antibiotic,Inhaler,5mg/mL,35928-535-24,LOT671015,Merck,Pharmacy Main,1083,177,2301,2478,1.41,1527.03,2027-11-03,1825261011018893236,558,6,True,False
RX00104,Metformin 50mg,Antidiabetic,Suspension,10mg/mL,17816-269-49,LOT723948,AbbVie,ICU Satellite,610,59,413,826,0.16,97.6,2028-07-03,1846256211018893236,801,10,False,False
RX00105,Insulin Glargine 50mg,Antidiabetic,Tablet,40mg,49857-816-61,LOT385470,Bristol-Myers Squibb,ER Satellite,2364,193,1930,2702,69.53,164368.92,2026-07-15,1784134611018893236,82,12,False,False
RX00106,Insulin Lispro 50mg,Antidiabetic,Capsule,80mg,66626-852-51,LOT733039,Novartis,OR Satellite,4045,130,1300,1820,74.63,301878.35,2026-05-31,1780246611018893236,37,31,False,False
RX00107,Glipizide 50mg,Antidiabetic,Injection,200mg,85392-701-12,LOT901909,Roche,Oncology Satellite,46,66,396,924,1.02,46.92,2028-01-29,1832777811018893236,645,0,True,False
RX00108,Sitagliptin 50mg,Antidiabetic,Oral Solution,400mg,71669-631-93,LOT563711,Sanofi,Pediatrics Satellite,2360,174,522,2436,28.42,67071.2,2028-04-29,1840640211018893236,736,13,False,False
RX00109,Empagliflozin 50mg,Antidiabetic,IV Bag,25mg,74451-193-70,LOT464863,GlaxoSmithKline,Pharmacy Main,1486,236,2832,3304,36.12,53674.32,2027-05-30,1811696211018893236,401,6,True,False
RX00110,Lisinopril 50mg,Antihypertensive,Patch,50mg,53228-521-98,LOT619536,AstraZeneca,ICU Satellite,1315,106,1378,1484,0.52,683.8,2026-06-25,1782406611018893236,62,12,True,False
RX00111,Amlodipine 50mg,Antihypertensive,Inhaler,100mg,51224-358-51,LOT221552,Eli Lilly,ER Satellite,1640,75,825,1050,0.45,738.0,2026-04-16,1776358611018893236,-8,21,False,True
RX00112,Losartan 50mg,Antihypertensive,Suspension,250mg,70552-523-16,LOT296694,Amgen,OR Satellite,4215,250,750,3500,1.06,4467.9,2028-01-12,1831309011018893236,628,16,False,False
RX00113,Metoprolol 50mg,Antihypertensive,Tablet,500mg,16764-308-44,LOT675898,Gilead Sciences,Oncology Satellite,2550,134,1340,1876,0.34,867.0,2027-12-10,1828457811018893236,595,19,False,False
RX00114,Carvedilol 50mg,Antihypertensive,Capsule,1000mg,92578-723-40,LOT844261,Baxter,Pediatrics Satellite,448,35,490,490,0.31,138.88,2027-07-19,1816016211018893236,451,12,True,False
RX00115,Hydralazine 50mg,Antihypertensive,Injection,5mg/mL,39451-961-24,LOT583863,Fresenius Kabi,Pharmacy Main,564,42,126,588,0.93,524.52,2027-09-26,1821977811018893236,520,13,False,False
RX00116,Atorvastatin 50mg,Lipid-lowering,Oral Solution,10mg/mL,45838-525-71,LOT595158,Hospira,ICU Satellite,630,244,2440,3416,0.35,220.5,2028-03-12,1836493011018893236,688,2,True,False
RX00117,Rosuvastatin 50mg,Lipid-lowering,IV Bag,40mg,76616-864-27,LOT173201,Mylan,ER Satellite,592,64,576,896,1.39,822.88,2026-09-21,1790009811018893236,150,9,False,False
RX00118,Simvastatin 50mg,Lipid-lowering,Patch,80mg,47072-843-48,LOT978157,Teva,OR Satellite,1392,72,792,1008,0.67,932.64,2026-12-08,1796749011018893236,228,19,False,False
RX00119,Omeprazole 50mg,GI,Inhaler,200mg,80592-595-54,LOT448588,Sandoz,Oncology Satellite,5406,152,1520,2128,0.23,1243.38,2028-08-12,1849712211018893236,841,35,False,False
RX00120,Pantoprazole 50mg,GI,Suspension,400mg,41300-685-59,LOT344907,Hikma,Pediatrics Satellite,3090,143,1430,2002,1.06,3275.4,2027-02-02,1801587411018893236,284,21,False,False
RX00121,Ondansetron 50mg,GI,Tablet,25mg,59968-495-94,LOT930884,Pfizer,Pharmacy Main,357,221,1768,3094,2.16,771.12,2028-04-10,1838998611018893236,717,1,True,False
RX00122,Metoclopramide 50mg,GI,Capsule,50mg,87356-439-22,LOT986088,Johnson & Johnson,ICU Satellite,2492,212,2120,2968,0.32,797.44,2026-04-16,1776358611018893236,-8,11,False,True
RX00123,Famotidine 50mg,GI,Injection,100mg,95823-258-19,LOT592296,Merck,ER Satellite,935,114,342,1596,0.46,430.1,2028-03-18,1837011411018893236,694,8,False,False
RX00124,Morphine 50mg,Analgesic,Oral Solution,250mg,20527-972-52,LOT993744,AbbVie,OR Satellite,1386,202,2424,2828,3.78,5239.08,2028-02-17,1834419411018893236,664,6,True,False
RX00125,Oxycodone 50mg,Analgesic,IV Bag,500mg,73956-993-79,LOT137642,Bristol-Myers Squibb,Oncology Satellite,3113,174,1392,2436,4.54,14133.02,2027-12-11,1828544211018893236,596,17,False,False
RX00126,Hydrocodone 50mg,Analgesic,Patch,1000mg,39817-864-21,LOT555052,Novartis,Pediatrics Satellite,480,160,2080,2240,4.65,2232.0,2028-02-08,1833641811018893236,655,3,True,False
RX00127,Tramadol 50mg,Analgesic,Inhaler,5mg/mL,13794-147-51,LOT934816,Roche,Pharmacy Main,205,27,270,378,2.55,522.75,2026-08-27,1787849811018893236,125,7,True,False
RX00128,Fentanyl 50mg,Analgesic,Suspension,10mg/mL,79621-521-82,LOT814919,Sanofi,ICU Satellite,183,16,128,224,8.64,1581.12,2027-05-25,1811264211018893236,396,11,False,False
RX00129,Ketorolac 50mg,Analgesic,Tablet,40mg,60140-734-97,LOT352528,GlaxoSmithKline,ER Satellite,696,204,1020,2856,2.63,1830.48,2026-05-29,1780073811018893236,35,3,True,False
RX00130,Ibuprofen 50mg,Analgesic,Capsule,80mg,70236-361-95,LOT109853,AstraZeneca,OR Satellite,1172,129,774,1806,0.34,398.48,2027-06-25,1813942611018893236,427,9,False,False
RX00131,Acetaminophen 50mg,Analgesic,Injection,200mg,19681-552-54,LOT716113,Eli Lilly,Oncology Satellite,7382,232,1624,3248,0.23,1697.86,2028-02-01,1833037011018893236,648,31,False,False
RX00132,Naloxone 50mg,Emergency,Oral Solution,400mg,49599-303-59,LOT994787,Amgen,Pediatrics Satellite,1737,78,1092,1092,79.39,137900.43,2026-11-21,1795280211018893236,211,22,False,False
RX00133,Epinephrine 50mg,Emergency,IV Bag,25mg,48780-816-47,LOT123005,Gilead Sciences,Pharmacy Main,485,125,1125,1750,38.33,18590.05,2027-10-16,1823705811018893236,540,3,True,False
RX00134,Atropine 50mg,Emergency,Patch,50mg,99889-896-16,LOT735863,Baxter,ICU Satellite,6484,214,1498,2996,16.32,105818.88,2026-03-18,1773853011018893236,-37,30,False,True
RX00135,Adenosine 50mg,Emergency,Inhaler,100mg,38705-751-34,LOT751051,Fresenius Kabi,ER Satellite,2344,192,1152,2688,38.07,89236.08,2027-11-21,1826816211018893236,576,12,False,False
RX00136,Amiodarone 50mg,Cardiac,Suspension,250mg,92242-761-15,LOT423939,Hospira,OR Satellite,2788,66,330,924,11.11,30974.68,2027-12-13,1828717011018893236,598,42,False,False
RX00137,Digoxin 50mg,Cardiac,Tablet,500mg,21813-402-51,LOT883790,Mylan,Oncology Satellite,273,203,2436,2842,3.8,1037.4,2027-03-18,1805389011018893236,328,1,True,False
RX00138,Furosemide 50mg,Cardiac,Capsule,1000mg,57953-643-74,LOT385765,Teva,Pediatrics Satellite,411,108,540,1512,0.69,283.59,2028-05-23,1842713811018893236,760,3,True,False
